country,survey_wave,sector,size,indicator,Multiple technologies,Single technology,Share of firms using generative AI tools,Climate change targets for own GHG emissions,No impact at all,A minor impact,A major impact,An opportunity,No Impact,A risk,Plan to invest,Already invested,Proportion of investment directed towards measures to improve energy efficiency,Share of firms investing in measures to improve energy efficiency,Sustainable transport options,Waste minimization and recycling,Onsite/offsite renewable energy generation,Investing in energy efficiency,"Investing in new, less polluting, business areas and technologies"
AT,2018,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2019,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2024,ALL,ALL,Implementation of digital technologies,0.6,0.23,,,,,,,,,,,,,,,,,
AT,2025,ALL,ALL,Implementation of digital technologies,0.6,0.27,,,,,,,,,,,,,,,,,
AT,2019,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2023,Construction (NACE F),ALL,Implementation of digital technologies,0.26,0.34,,,,,,,,,,,,,,,,,
AT,2022,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2020,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2024,Construction (NACE F),ALL,Implementation of digital technologies,0.22,0.33,,,,,,,,,,,,,,,,,
AT,2019,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2020,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2018,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2022,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2019,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2021,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2025,Services (NACE G/I),ALL,Implementation of digital technologies,0.6,0.28,,,,,,,,,,,,,,,,,
AT,2021,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2020,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
AT,2024,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.61,0.24,,,,,,,,,,,,,,,,,
BE,2020,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2023,ALL,SME,Implementation of digital technologies,0.49,0.25,,,,,,,,,,,,,,,,,
BE,2022,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2024,ALL,ALL,Implementation of digital technologies,0.71,0.2,,,,,,,,,,,,,,,,,
BE,2018,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2023,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.6,0.14,,,,,,,,,,,,,,,,,
BE,2021,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2019,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2021,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2023,Construction (NACE F),ALL,Implementation of digital technologies,0.3,0.25,,,,,,,,,,,,,,,,,
BE,2025,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.7,0.11,,,,,,,,,,,,,,,,,
BE,2023,Services (NACE G/I),ALL,Implementation of digital technologies,0.49,0.23,,,,,,,,,,,,,,,,,
BE,2025,ALL,Large,Implementation of digital technologies,0.69,0.14,,,,,,,,,,,,,,,,,
BE,2021,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2018,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2019,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2022,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2025,Construction (NACE F),ALL,Implementation of digital technologies,0.35,0.33,,,,,,,,,,,,,,,,,
BE,2020,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2021,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2023,ALL,Large,Implementation of digital technologies,0.66,0.14,,,,,,,,,,,,,,,,,
BE,2021,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2024,Construction (NACE F),ALL,Implementation of digital technologies,0.32,0.53,,,,,,,,,,,,,,,,,
BE,2022,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2019,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2022,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2022,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2024,Services (NACE G/I),ALL,Implementation of digital technologies,0.84,0.11,,,,,,,,,,,,,,,,,
BE,2020,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2019,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2020,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2020,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2022,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2019,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2018,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2023,ALL,ALL,Implementation of digital technologies,0.58,0.19,,,,,,,,,,,,,,,,,
BE,2018,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2020,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2019,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2018,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2018,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2024,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.62,0.24,,,,,,,,,,,,,,,,,
BE,2023,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.71,0.18,,,,,,,,,,,,,,,,,
BE,2024,ALL,Large,Implementation of digital technologies,0.74,0.2,,,,,,,,,,,,,,,,,
BE,2024,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.82,0.14,,,,,,,,,,,,,,,,,
BE,2021,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2025,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.64,0.2,,,,,,,,,,,,,,,,,
BE,2025,ALL,ALL,Implementation of digital technologies,0.6,0.18,,,,,,,,,,,,,,,,,
BE,2020,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2019,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2021,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2025,Services (NACE G/I),ALL,Implementation of digital technologies,0.52,0.19,,,,,,,,,,,,,,,,,
BE,2025,ALL,SME,Implementation of digital technologies,0.48,0.23,,,,,,,,,,,,,,,,,
BE,2024,ALL,SME,Implementation of digital technologies,0.68,0.2,,,,,,,,,,,,,,,,,
BE,2022,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BE,2018,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2025,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.36,0.33,,,,,,,,,,,,,,,,,
BG,2025,ALL,Large,Implementation of digital technologies,0.49,0.25,,,,,,,,,,,,,,,,,
BG,2019,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2023,ALL,SME,Implementation of digital technologies,0.16,0.4,,,,,,,,,,,,,,,,,
BG,2025,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.38,0.3,,,,,,,,,,,,,,,,,
BG,2021,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2022,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2025,ALL,ALL,Implementation of digital technologies,0.35,0.3,,,,,,,,,,,,,,,,,
BG,2024,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.25,0.34,,,,,,,,,,,,,,,,,
BG,2024,Construction (NACE F),ALL,Implementation of digital technologies,0.18,0.28,,,,,,,,,,,,,,,,,
BG,2021,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2024,ALL,ALL,Implementation of digital technologies,0.26,0.31,,,,,,,,,,,,,,,,,
BG,2024,ALL,Large,Implementation of digital technologies,0.38,0.29,,,,,,,,,,,,,,,,,
BG,2022,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2025,Services (NACE G/I),ALL,Implementation of digital technologies,0.36,0.25,,,,,,,,,,,,,,,,,
BG,2018,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2020,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2020,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2022,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2024,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.3,0.33,,,,,,,,,,,,,,,,,
BG,2018,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2022,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2018,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2021,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2018,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2019,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2021,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2023,ALL,ALL,Implementation of digital technologies,0.24,0.33,,,,,,,,,,,,,,,,,
BG,2023,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.23,0.3,,,,,,,,,,,,,,,,,
BG,2018,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2020,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2021,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2019,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2022,ALL,SME,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2025,ALL,SME,Implementation of digital technologies,0.24,0.33,,,,,,,,,,,,,,,,,
BG,2020,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2019,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2024,Services (NACE G/I),ALL,Implementation of digital technologies,0.26,0.26,,,,,,,,,,,,,,,,,
BG,2020,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2021,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2023,ALL,Large,Implementation of digital technologies,0.34,0.23,,,,,,,,,,,,,,,,,
BG,2020,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2018,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2025,Construction (NACE F),ALL,Implementation of digital technologies,0.11,0.28,,,,,,,,,,,,,,,,,
BG,2024,ALL,SME,Implementation of digital technologies,0.18,0.33,,,,,,,,,,,,,,,,,
BG,2022,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2020,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2019,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2023,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.27,0.29,,,,,,,,,,,,,,,,,
BG,2019,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2021,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2018,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2019,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2022,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
BG,2023,Services (NACE G/I),ALL,Implementation of digital technologies,0.24,0.39,,,,,,,,,,,,,,,,,
BG,2023,Construction (NACE F),ALL,Implementation of digital technologies,0.11,0.4,,,,,,,,,,,,,,,,,
CY,2024,ALL,Medium/Large,Implementation of digital technologies,0.55,0.31,,,,,,,,,,,,,,,,,
CY,2020,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2025,Services (NACE G/I),ALL,Implementation of digital technologies,0.49,0.09,,,,,,,,,,,,,,,,,
CY,2019,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2018,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2020,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2023,ALL,Micro/Small,Implementation of digital technologies,0.11,0.3,,,,,,,,,,,,,,,,,
CY,2024,Services (NACE G/I),ALL,Implementation of digital technologies,0.61,0.2,,,,,,,,,,,,,,,,,
CY,2022,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2018,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2020,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2018,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2022,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2023,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,0.2,0.33,,,,,,,,,,,,,,,,,
CY,2021,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2022,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2018,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2019,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2024,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,0.21,0.28,,,,,,,,,,,,,,,,,
CY,2025,ALL,Micro/Small,Implementation of digital technologies,0.22,0.3,,,,,,,,,,,,,,,,,
CY,2022,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2019,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2023,ALL,ALL,Implementation of digital technologies,0.29,0.27,,,,,,,,,,,,,,,,,
CY,2021,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2025,ALL,ALL,Implementation of digital technologies,0.32,0.26,,,,,,,,,,,,,,,,,
CY,2021,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2025,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,0.22,0.36,,,,,,,,,,,,,,,,,
CY,2024,ALL,Micro/Small,Implementation of digital technologies,0.17,0.18,,,,,,,,,,,,,,,,,
CY,2018,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2019,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2022,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2024,ALL,ALL,Implementation of digital technologies,0.37,0.25,,,,,,,,,,,,,,,,,
CY,2023,Services (NACE G/I),ALL,Implementation of digital technologies,0.42,0.19,,,,,,,,,,,,,,,,,
CY,2025,ALL,Medium/Large,Implementation of digital technologies,0.42,0.22,,,,,,,,,,,,,,,,,
CY,2020,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2020,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2021,Manufacturing&Construction&Infrastructure,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2023,ALL,Medium/Large,Implementation of digital technologies,0.45,0.25,,,,,,,,,,,,,,,,,
CY,2019,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CY,2021,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2020,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2018,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2022,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2019,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2019,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2022,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2019,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2025,ALL,ALL,Implementation of digital technologies,0.48,0.3,,,,,,,,,,,,,,,,,
CZ,2024,Construction (NACE F),ALL,Implementation of digital technologies,0.46,0.44,,,,,,,,,,,,,,,,,
CZ,2021,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2021,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2023,Construction (NACE F),ALL,Implementation of digital technologies,0.3,0.34,,,,,,,,,,,,,,,,,
CZ,2023,ALL,Micro/Small,Implementation of digital technologies,0.33,0.3,,,,,,,,,,,,,,,,,
CZ,2018,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2019,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2024,ALL,Micro/Small,Implementation of digital technologies,0.59,0.28,,,,,,,,,,,,,,,,,
CZ,2023,ALL,ALL,Implementation of digital technologies,0.59,0.2,,,,,,,,,,,,,,,,,
CZ,2025,Services (NACE G/I),ALL,Implementation of digital technologies,0.45,0.37,,,,,,,,,,,,,,,,,
CZ,2025,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.52,0.13,,,,,,,,,,,,,,,,,
CZ,2018,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2021,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2023,Services (NACE G/I),ALL,Implementation of digital technologies,0.49,0.21,,,,,,,,,,,,,,,,,
CZ,2022,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2020,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2024,ALL,Medium/Large,Implementation of digital technologies,0.65,0.26,,,,,,,,,,,,,,,,,
CZ,2020,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2019,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2023,ALL,Medium/Large,Implementation of digital technologies,0.67,0.16,,,,,,,,,,,,,,,,,
CZ,2022,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2021,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2023,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.71,0.19,,,,,,,,,,,,,,,,,
CZ,2025,Construction (NACE F),ALL,Implementation of digital technologies,0.33,0.43,,,,,,,,,,,,,,,,,
CZ,2020,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2022,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2024,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.66,0.25,,,,,,,,,,,,,,,,,
CZ,2021,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2025,Manufacturing (NACE C),ALL,Implementation of digital technologies,0.51,0.31,,,,,,,,,,,,,,,,,
CZ,2019,Manufacturing (NACE C),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2019,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2020,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2024,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.73,0.21,,,,,,,,,,,,,,,,,
CZ,2020,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2018,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2021,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2023,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,0.53,0.15,,,,,,,,,,,,,,,,,
CZ,2025,ALL,Micro/Small,Implementation of digital technologies,0.4,0.3,,,,,,,,,,,,,,,,,
CZ,2024,Services (NACE G/I),ALL,Implementation of digital technologies,0.55,0.29,,,,,,,,,,,,,,,,,
CZ,2018,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2018,ALL,Micro/Small,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2020,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2018,ALL,Medium/Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2025,ALL,Medium/Large,Implementation of digital technologies,0.51,0.3,,,,,,,,,,,,,,,,,
CZ,2021,Construction (NACE F),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2022,ALL,ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
CZ,2024,ALL,ALL,Implementation of digital technologies,0.64,0.26,,,,,,,,,,,,,,,,,
CZ,2022,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
DE,2021,ALL,Large,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
DE,2021,Other (NACE D/E/H/J),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
DE,2018,Services (NACE G/I),ALL,Implementation of digital technologies,,,,,,,,,,,,,,,,,,,
